response_fn_50,response_fn_51,response_fn_52,response_fn_53,response_fn_54,response_fn_55,response_fn_56,response_fn_57,response_fn_58,response_fn_59,response_fn_60
Viscosity at vent [Pa s],Fraz. crystal 1 at vent,Fraz. crystal 2 at vent,Fraz. crystal 3 at vent,Total cry. fract. at vent [wt.],Gas_1 exs. fraction at vent [vol.],Gas_1 exs. fraction at vent [vol.],Dissolved gas_1 fraction at vent [wt.],Dissolved gas_2 fraction at vent [wt.],Fluid breakup flag at vent,Filament breakup diameter at vent
286743.914046,0.276321184653,0.0,0.0,0.276321184653,0.754894160158,0.122764911388,0.00126728289235,1.9153725595e-07,0.0,0.0
6001.71095695,0.165442133233,0.0,0.0,0.165442133233,0.707103985098,0.197030831314,0.00484360249049,5.23902800923e-06,0.0,0.0
763248.271082,0.358469040337,0.0,0.0,0.358469040337,0.527572966829,0.0788938293349,0.000753017244087,5.95745118725e-08,0.0,0.0
462308.292347,0.336066073186,0.0,0.0,0.336066073186,0.538592722655,0.126062630497,0.000727039460741,8.9758801263e-08,0.0,0.0
583126.007647,0.308524424697,0.0,0.0,0.308524424697,0.556733068477,0.27161458133,0.000684633344773,1.75290468347e-07,0.0,0.0
65299.9652863,0.254176791077,0.0,0.0,0.254176791077,0.578707212454,0.288458731097,0.000737056797297,2.09861831091e-07,0.0,0.0
17414.252508,0.190812238956,0.0,0.0,0.190812238956,0.509452440679,0.346833325228,0.00070705974212,2.70956940967e-07,0.0,0.0
2813.21673981,0.0987301649753,0.0,0.0,0.0987301649753,0.800118284303,0.100011108954,0.00401059179492,1.50667049007e-06,0.0,0.0
567585.141907,0.338543636737,0.0,0.0,0.338543636737,0.57136330482,0.105195515323,0.00074260339312,7.24141003551e-08,0.0,0.0
10050.2842083,0.192396597564,0.0,0.0,0.192396597564,0.404512645956,0.45970552434,0.00202459686118,4.00262266487e-06,0.0,0.0
1376259.90881,0.345718475922,0.0,0.0,0.345718475922,0.509257598195,0.28027807382,0.000653842609028,1.81290006949e-07,0.0,0.0
702831.280981,0.363635430477,0.0,0.0,0.363635430477,0.342668168222,0.106428505221,0.00070222609642,1.13303025877e-07,0.0,0.0
8228.07559539,0.181051239808,0.0,0.0,0.181051239808,0.823259392561,0.0668467698912,0.00469664406694,1.30780795251e-06,0.0,0.0
125916.731307,0.26908923404,0.0,0.0,0.26908923404,0.630217715454,0.167173093041,0.000732254056893,1.04319352592e-07,0.0,0.0
117030.180582,0.273415894797,0.0,0.0,0.273415894797,0.761273215417,0.0296373382557,0.00082513193542,1.69619121467e-08,0.0,0.0
163174.324184,0.305543253393,0.0,0.0,0.305543253393,0.286821175926,0.443247754954,0.00049628011659,3.12730871636e-07,0.0,0.0
46734.0422576,0.215497372417,0.0,0.0,0.215497372417,0.668293821986,0.234349801835,0.00141522568731,5.47824111459e-07,0.0,0.0
49780.4941986,0.234176092222,0.0,0.0,0.234176092222,0.660098106452,0.241817700028,0.00139923892828,5.61082800009e-07,0.0,0.0
5281.40317679,0.169097493757,0.0,0.0,0.169097493757,0.662976243886,0.208099911564,0.00362903483603,3.304036051e-06,0.0,0.0
6378.40888964,0.183256527004,0.0,0.0,0.183256527004,0.63343441483,0.234744296049,0.00388089626568,4.53141311007e-06,0.0,0.0
2300349.78888,0.373069054463,0.0,0.0,0.373069054463,0.47466229926,0.199150331981,0.000675287902062,1.44530676631e-07,0.0,0.0
11559.8693495,0.231291616595,0.0,0.0,0.231291616595,0.609903883247,0.137492578833,0.0020576327548,7.26716816644e-07,0.0,0.0
73187.2574471,0.261078558301,0.0,0.0,0.261078558301,0.462384112619,0.345374624851,0.000614179328504,2.21722379079e-07,0.0,0.0
31949.4628044,0.239631100248,0.0,0.0,0.239631100248,0.587443412767,0.308628685137,0.00261938049595,2.95600627024e-06,0.0,0.0
