response_fn_40,response_fn_41,response_fn_42,response_fn_43,response_fn_44,response_fn_45,response_fn_46,response_fn_47,response_fn_48,response_fn_49
Viscosity at inlet [Pa s],Fraz. cry_1 at inlet,Fraz. cry_2 at inlet,Fraz. cry_3 at inlet,Total cry. fract. at inlet [wt.],Gas_1 exs. at inlet [vol.],Gas_2 exs. at inlet [vol.],Gas_1 diss. at inlet [wt.],Gas_2 diss. at inlet [wt.],u_1 at inlet [m/s]
,,,,,,,,,
,,,,,,,,,
2274.11567084,0.262211146914,0.0,0.0,0.262211146914,0.305130405314,0.100109227971,0.0160719964147,7.2434624658e-05,4.56145644188
258.644768551,0.162653000374,0.0,0.0,0.162653000374,0.394329419799,0.166726089488,0.0152184760928,8.50945004308e-05,30.9177589417
1324.3166652,0.262979050249,0.0,0.0,0.262979050249,0.145041178827,0.0769553492505,0.0142512201191,9.49688136287e-05,0.184560755384
1205.20041425,0.251673196591,0.0,0.0,0.251673196591,0.309061258539,0.140358725246,0.0153114596742,9.30442152947e-05,0.366716982178
,,,,,,,,,
4203.53374446,0.272681844709,0.0,0.0,0.272681844709,0.288608450884,0.246690863621,0.0134334804537,0.000140516543289,1.45260882378
735.955830733,0.23222159868,0.0,0.0,0.23222159868,0.21047870886,0.227056000549,0.0123772259682,0.00015263791519,2.25585317612
,,,,,,,,,
,,,,,,,,,
327.982266924,0.178780132025,0.0,0.0,0.178780132025,0.066979343503,0.19604080686,0.00912003866965,0.000239026647687,2.78341150284
82.8581387213,0.095180537067,0.0,0.0,0.095180537067,0.385746014164,0.0855578937175,0.0165383628476,5.04162276968e-05,20.7563781738
1601.81700169,0.264367259145,0.0,0.0,0.264367259145,0.15422553899,0.0929842930877,0.013858879077,0.000102909893633,0.374897452076
445.044744115,0.189562573454,0.0,0.0,0.189562573454,0.062822872935,0.243941302211,0.00794614692264,0.0002443713926,13.3232879639
11224.6515638,0.306186044651,0.0,0.0,0.306186044651,0.194360697718,0.229140991157,0.0123205483398,0.000166359575218,1.06337308884
7387.10972738,0.294824853047,0.0,0.0,0.294824853047,0.013238724414,0.0624910815009,0.00713383588606,0.000241794864574,0.0305766984523
,,,,,,,,,
,,,,,,,,,
287.713375163,0.177501438449,0.0,0.0,0.177501438449,0.422929000899,0.0566259603485,0.0168121591391,3.03044256534e-05,25.2477264404
849.362280453,0.224880626243,0.0,0.0,0.224880626243,0.302809531095,0.15718830424,0.0147125228061,9.90062071572e-05,1.15550374985
,,,,,,,,,
,,,,,,,,,
