response_fn_70,response_fn_71,response_fn_72,response_fn_73,response_fn_74,response_fn_75
Average magma velocity [m/s],Average mixture density [kq/m3],Average viscosity [Pa s],Average Reynolds number,Average cooling rate [K/s],Average decompression rate [MPa/s]
,,,,,
,,,,,
5.943390433982004,1271.181091716857,6899.958700019199,11.46119545256922,0.14700273331787828,0.1582782693735596
45.673300834449726,841.9745065473988,665.0400238667658,627.5197079611111,1.0331557264450195,1.0343393998270156
0.19808815583153783,1872.281946709412,17288.740416187436,0.08885958686609374,0.0028388537397606734,0.005043775128104669
0.3375568305964413,1566.0933076464664,9239.410047642512,0.16776957717420038,0.005724264383670892,0.009297963569976423
,,,,,
1.5090541474398007,1223.221028215942,13843.417498831182,0.9242844399409276,0.03096816453867172,0.040784528051256666
2.711936357540732,1255.618595363663,1952.9360742881884,6.551932613863984,0.057217080248306504,0.0696468664840288
,,,,,
,,,,,
3.5560157172468476,1553.173717423087,697.8035759602307,21.515812465935515,0.06095082977552761,0.0960345743074927
30.464128679473745,994.2393325193689,217.41829979954488,657.9512431433992,0.7369966235100356,0.7237899507633446
0.41752903325688134,1764.5150016458817,14025.744382927096,0.27249236803244403,0.006462693872528711,0.010510707211303438
18.025189637542127,1411.6285261335195,896.7402108307618,212.48004936317102,0.25302745792735404,0.4438186188314949
1.1590849062259798,1427.761446769157,40807.04150029768,0.4567938221940908,0.0193610408918872,0.031401714459454576
0.03227658964034692,2263.294150794805,26914.358147921925,0.0077967217849249475,0.00027231383760632696,0.0008314830869552874
,,,,,
,,,,,
35.64134600146777,1028.5281627441104,715.0403811749497,485.9755169171429,0.8244516560078202,0.7989059014953317
1.2455006528616321,1346.130458790016,3001.748041813417,1.7615098741864155,0.025570048871325624,0.03292461055934082
,,,,,
,,,,,
1.8970744120365535,1832.6526499545748,2587.682698206669,6.133141408158934,0.04062738687511383,0.050919404982090674
,,,,,
0.5687914953758496,1712.4206508199352,11723.998527172633,0.432685354248786,0.005565628983504904,0.01427070823372111
8.803912520656112,1063.3778325879118,1597.8168992533529,36.32621145117695,0.2073968802216392,0.2120255785250779
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
8.771351922107769,1071.1533313301845,1779.717623012933,34.208747425751,0.20445492164157716,0.21376683987689896
27.44503963214519,1250.6111716304536,470.35767894060626,516.0048180561805,0.5387539848847904,0.62871203889525
30.27775060503591,1245.909760200737,589.1003132232524,495.81044582699326,0.6013976289397213,0.7451022209670604
,,,,,
0.33150414100209286,1561.6396003863415,51164.509786516566,0.06779446606902768,0.00504624279415531,0.009196813879853626
12.33521656843975,2267.8195691276414,1354.806638403498,226.78282316370715,0.13573122223283773,0.3336540196551711
1.8803026372144531,1721.292771081634,3713.961132808849,4.805741042003935,0.023996033546363687,0.046556121746073355
,,,,,
,,,,,
21.400892631128592,1103.8196030150923,2135.100191029266,128.88496045632075,0.4042888017012441,0.5153208266496259
,,,,,
1.506298966281996,1388.474089487866,13764.945774091137,1.195517929356788,0.0326162487808058,0.03894420827084557
18.517807466488577,1871.411202800993,1138.0262018755266,307.55298084544813,0.25044338792383186,0.4834776560269279
,,,,,
7.6780436721784024,1226.6216795260648,2577.436243700578,26.48361093204681,0.20862153050108964,0.20348261921183122
0.884069104602619,1820.7166063598963,1333.899539709807,2.7545080632676933,0.014530072422063129,0.02298266652184245
,,,,,
27.860026262054628,960.6937007117621,476.8549094784881,339.2610414513553,0.6146190988387187,0.6713622642185769
39.10570454808381,884.5672941225115,318.0340992355769,1209.2053750258667,0.8146625466378798,0.8235119555541646
40.00912267813364,954.8269440950417,382.09035912348213,909.9185074173188,0.942800001296536,0.9299329066769898
1.8152062754246467,1404.763690126796,21188.95977158107,1.2552023299181434,0.03062019169150547,0.04782599283234701
3.613396352563854,1576.9773880851594,944.2737379298399,21.773316549697256,0.07141069888001664,0.08982814100382748
0.7555901870082485,1448.9575240108484,26757.41055834221,0.30700162014399257,0.014084528068637652,0.02024039161746186
0.14834395374605966,1749.714722588518,93863.71507590033,0.018827211781368022,0.0020491280739913906,0.0040061003184930595
4.263209736355016,1908.6860275525446,822.2637943737155,43.798064791093175,0.06272490020082128,0.10533145178833138
3.9729632355402367,1218.8423494730444,1062.7685415517856,14.925940439502657,0.07396512395351196,0.10225177345595467
,,,,,
0.28996500520455915,1696.048660694545,145849.32516530488,0.04037198310956772,0.0037138123470861,0.007706537793579586
4.394762755526122,1670.8124503411832,3178.8971712139846,17.75404558113034,0.07489363978814775,0.10911638623620389
21.131854726155325,1372.6619354887528,1333.5943638297488,228.35576422511588,0.29679183615048504,0.49112668804601256
1.9895547036320647,1622.3158311496395,21649.74360065279,1.7491900880938152,0.025842025323806497,0.05340114763170969
37.09872774551554,1162.3106834066546,572.8306689882291,691.7205017614077,0.8734105263278451,0.8677664244321699
3.5075250952485724,1275.0173924053238,674.8479265106549,17.271389246940615,0.09482875713988151,0.08859865555413435
27.539631001159677,851.7002313566336,1103.7287535585517,189.86849658034905,0.5872668671218823,0.6488146569746376
17.99872966426175,958.6308699227588,486.6989702662235,165.64000618913104,0.42783568065021765,0.44990659766607405
0.19626345181975913,1893.9988298154879,7249.520900462849,0.12312517384146897,0.0021100629348796045,0.005289491829714209
,,,,,
39.69523125196583,1263.301226896722,509.034392745223,1107.1501739277126,0.7333128790620639,0.9301828647132037
31.246856199827963,1242.8731534331414,270.97880990158717,850.746241437123,0.6743599400460748,0.7568997270043344
39.61858722497296,854.3570390698629,820.7018804270239,391.14149622020096,0.8644043561353342,0.9344061213956795
,,,,,
