response_fn_20,response_fn_21,response_fn_22,response_fn_23,response_fn_24,response_fn_25,response_fn_26,response_fn_27,response_fn_28,response_fn_29,response_fn_30,response_fn_31,response_fn_32,response_fn_33,response_fn_34,response_fn_35,response_fn_36,response_fn_37,response_fn_38
Viscosity at fragmentation [Pa s],Fraz. cry_1 at fragmentation,Fraz. cry_2 at fragmentation,Fraz. cry_3 at fragmentation,Total cry. at fragmentation [wt.],Temperature at fragmentation [K],Pressure at fragmentation [Pa],Vesicularity at fragmentation [vol.],Undercooling at fragmentation [K],Free space to save more info,Gas_1 diss. at fragmentation [wt.],Gas_2 diss. at fragmentation [wt.],Elongational strain rate at frag [1/s],Deborah number at fragmentation,Reynolds bubble expansion at frag,Deborah/Reynolds ratio at frag,Melt viscosity at fragmentation [Pa s],Reynolds number at fragmentation,u_mix / u_rel at fragmentation
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
282883.678631,0.276321119964,0.0,0.0,0.276321119964,1348.68163049,200323.847003,0.876751456911,56.1901622479179,,0.00126793162192,1.91726213551e-07,613.7777073583962,0.01,0.7200898888982203,0.013887155137396228,635.235466891,0.2655100946394438,0.03366936774363904
6001.71095695,0.165442133233,0.0,0.0,0.165442133233,1375.31577101,3824299.60264,0.904134816412,27.236677244310386,,0.00484360249049,5.23902800923e-06,7.142452486680346,4.286693534887513e-06,0.31752481453208925,1.3500341827470927e-05,143.939674449,64.19770015034624,1.3569611807682205
763248.271082,0.358469040337,0.0,0.0,0.358469040337,1391.70974342,101300.584232,0.6064667961639,13.225424206091475,,0.000753017244087,5.95745118725e-08,0.20364178006775732,1.554292365573338e-05,0.00027386679325782325,0.05675358984139777,317.283599557,0.0019937212307939147,0.005977143709796189
462308.292347,0.336066073186,0.0,0.0,0.336066073186,1388.63066853,101300.978555,0.6646553531520001,16.304498843724787,,0.000727039460741,8.9758801263e-08,0.7322826241370184,3.3854032948130265e-05,0.0014125563934239667,0.023966500102746174,341.804354274,0.0033348202333160727,0.004130371181689965
,,,,,,,,,,,,,,,,,,
583126.007647,0.308524424697,0.0,0.0,0.308524424697,1365.10472186,101376.93769,0.8283476498069999,39.83039689987845,,0.000684633344773,1.75290468347e-07,28.237573756129084,0.0016466063650100056,0.02264601591230355,0.07271064240997051,574.239133656,0.021556041838494328,0.008627321929804666
65299.9652863,0.254176791077,0.0,0.0,0.254176791077,1389.49744997,102554.116841,0.867165943551,15.436915395221831,,0.000737056797297,2.09861831091e-07,226.4248801891351,0.001478553681634274,1.1905452599322086,0.0012419130388360582,334.271109709,0.18892526154688719,0.016260383793678862
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
16008.7756454,0.190807001311,0.0,0.0,0.190807001311,1380.19659077,125638.408391,0.849611513421,24.72300064862975,,0.000744946959593,3.01125539442e-07,43.53417812384534,6.969288904928505e-05,1.0557154733822445,6.601484093626734e-05,403.971075657,0.8944327511157989,0.030174379534042693
2813.21673981,0.0987301649753,0.0,0.0,0.0987301649753,1379.6349971,2310901.50905,0.900129393257,23.886025934207964,,0.00401059179492,1.50667049007e-06,10.602223397034921,2.982635233977333e-06,1.0133896609983535,2.943226429840376e-06,155.550918493,46.8585872779166,0.6579194724154066
567585.141907,0.338543636737,0.0,0.0,0.338543636737,1384.15054822,101300.686615,0.676558820143,20.78461934056645,,0.00074260339312,7.24141003551e-08,0.3796170813346113,2.1546501498035594e-05,0.0005703299668919938,0.03777900995708325,372.385048769,0.006637562898876534,0.00787529626783718
10050.2842083,0.192396597564,0.0,0.0,0.192396597564,1386.26301746,1196718.60782,0.864218170296,17.971082630995397,,0.00202459686118,4.00262266487e-06,9.5010167057971,9.548791816125079e-06,0.3413461572844429,2.7973925038705196e-05,222.968522673,17.71384027892944,0.47531322551135047
1376259.90881,0.345718475922,0.0,0.0,0.345718475922,1375.76285481,101305.322187,0.789535672015,29.1723097838003,,0.000653842609028,1.81290006949e-07,3.3036519539704297,0.0004546683736927041,0.0013663583322471738,0.3327592498703735,462.800461699,0.013296256600533131,0.009573548656506137
702831.280981,0.363635430477,0.0,0.0,0.363635430477,1388.41603085,101300.723112,0.44909667344299997,16.519136687208402,,0.00070222609642,1.13303025877e-07,0.006562991505758526,4.6126757270764603e-07,1.3374697782385308e-05,0.03448807443822341,347.133992856,0.0002974241566642303,0.008130982518297922
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
8228.07559539,0.181051239808,0.0,0.0,0.181051239808,1365.21114797,3028379.8356,0.8901061624522,37.85068893521611,,0.00469664406694,1.30780795251e-06,8.694500618776061,7.153900835558411e-06,0.3153691097737591,2.2684215460069974e-05,178.28740152,39.25428814079782,0.949339291930697
125916.731307,0.26908923404,0.0,0.0,0.26908923404,1362.16813179,101455.250399,0.797390808495,42.76693684974475,,0.000732254056893,1.04319352592e-07,8.927756415388124,0.00011241539057337968,0.038673058704150436,0.0029068140545427078,598.677572961,0.04120495834870805,0.008270480731238695
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
117030.180582,0.273415894797,0.0,0.0,0.273415894797,1369.04043254,101494.288815,0.7909105536727,35.89461111515834,,0.00082513193542,1.69619121467e-08,13.865323773687534,0.00016226613450669863,0.06493232283194379,0.0024990040003138618,493.811690312,0.12943871009790647,0.016228882614521014
,,,,,,,,,,,,,,,,,,
163174.324184,0.305543253393,0.0,0.0,0.305543253393,1403.40926631,101300.914203,0.7300689308799999,1.5259011049099627,,0.00049628011659,3.12730871636e-07,0.6757533330589034,1.1026559343730893e-05,0.002871243402777592,0.003840342944476246,280.997647522,0.030516436663563667,0.016146934409422938
45572.2747299,0.215496966082,0.0,0.0,0.215496966082,1359.31088748,303861.109634,0.901585909151,45.49464140983423,,0.00141873639186,5.50478427687e-07,216.41960326552064,0.0009862733616973522,1.263916649101381,0.0007803310150226857,474.757981512,1.1968936221184472,0.05930788823076541
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
48554.8249074,0.23417564773,0.0,0.0,0.23417564773,1376.97490656,300384.668295,0.900847260755,27.83284725229123,,0.00140285077516,5.63911596628e-07,204.36240667417,0.0009922780873742433,1.115169934680189,0.0008897998919409633,330.3317717,1.1791054165651849,0.059666064888502665
5281.40317679,0.169097493757,0.0,0.0,0.169097493757,1381.90689823,2254289.31919,0.87107615545,21.650356605718343,,0.00362903483603,3.304036051e-06,8.213453662217505,4.337856026412635e-06,0.5336155060759732,8.129179113087907e-06,161.344862931,42.642303111164196,0.8127914357019327
6378.40888964,0.183256527004,0.0,0.0,0.183256527004,1379.50087772,2670882.85975,0.868178710879,23.789757249759987,,0.00388089626568,4.53141311007e-06,8.85869999577685,5.650441080382044e-06,0.4887265068669617,1.15615605067236e-05,159.992582527,42.74670089590986,0.9268878956552719
,,,,,,,,,,,,,,,,,,
2300349.78888,0.373069054463,0.0,0.0,0.373069054463,1371.55693454,101300.606776,0.673812631241,33.378233071663544,,0.000675287902062,1.44530676631e-07,0.4221849322492618,9.711730197715296e-05,0.00016381734829103327,0.5928389330574263,501.38075438,0.0015001494494600168,0.004148219138555632
11559.8693495,0.231291616595,0.0,0.0,0.231291616595,1387.52260799,721615.790799,0.74739646208,17.01555790388852,,0.0020576327548,7.26716816644e-07,4.725484853018889,5.462598751406591e-06,0.26374860092584645,2.0711384751354243e-05,215.661738681,25.788760133734424,0.60518393477911
73187.2574471,0.261078558301,0.0,0.0,0.261078558301,1379.7381741,101308.462712,0.8077587374699999,25.19698848386429,,0.000614179328504,2.21722379079e-07,6.961186690100181,5.09470162427018e-05,0.04731611595273807,0.0010767370739726498,433.336390644,0.23465170266380703,0.02617670667166238
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
31949.4628044,0.239631100248,0.0,0.0,0.239631100248,1383.9690842,1364724.06578,0.896072097904,20.157492397900796,,0.00261938049595,2.95600627024e-06,14.053734427242816,4.4900926534718605e-05,0.12554588540206388,0.0003576455444232382,197.149706839,8.01978309508973,0.38110698077752253
,,,,,,,,,,,,,,,,,,
683353.335187,0.311854776351,0.0,0.0,0.311854776351,1353.75786877,101656.89125,0.7990186366443001,51.177070819599976,,0.00079562366841,4.29149746087e-08,13.911423571900905,0.0009506417695087178,0.010999108598298923,0.0864289829501038,700.103893723,0.023537639023319415,0.009258079003209152
10726.7170043,0.221531389658,0.0,0.0,0.221531389658,1382.80384476,1409117.04002,0.797992297335,21.294320334387294,,0.00262046254719,2.89247869913e-06,5.872034390036953,6.298765114158331e-06,0.287238762549155,2.1928673756490047e-05,201.531413096,30.933842164009018,0.7827957201234385
,,,,,,,,,,,,,,,,,,
96916.8319512,0.260885301116,0.0,0.0,0.260885301116,1372.26035504,244822.972427,0.8840615923081,32.58295825764685,,0.0015215871549,4.1929062489e-08,597.848655990029,0.005794159772498758,1.8921352138157732,0.003062233465236329,348.49462477,0.6637911431116257,0.04247686445416296
39812.0462294,0.261504453334,0.0,0.0,0.261504453334,1392.23773876,101645.303761,0.739170753258,12.697208245592947,,0.000742371185177,7.87083881126e-08,2.3275602178647024,9.266493499558419e-06,0.0391879675514387,0.0002364627225791969,315.349400771,0.08980276823707124,0.01381368683676242
,,,,,,,,,,,,,,,,,,
6548.03696878,0.16555663866,0.0,0.0,0.16555663866,1387.01815325,1962580.1255,0.905653691023,16.72579546967995,,0.00340188248391,3.00792477232e-06,13.611313742612847,8.912738558043975e-06,0.5405556124993934,1.6488106592462726e-05,154.226272316,23.000203167341528,0.5093359008532538
2965.03618098,0.096841243029,0.0,0.0,0.096841243029,1381.19143201,3209588.20673,0.9125625297569999,21.75443153769288,,0.00418108829358,5.85076696732e-06,4.385143838551308,1.300211014011874e-06,0.3517950956712539,3.6959327461088243e-06,146.053806865,115.05805788748779,1.5863270385412966
3772.59116381,0.127979664213,0.0,0.0,0.127979664213,1371.21577703,3414161.18898,0.8998116620019,31.599159809052708,,0.00487552157522,2.23811739307e-06,6.082991373432992,2.294863950497513e-06,0.4405263381788111,5.209368320597485e-06,154.379776771,82.61494521073169,1.311690061835766
683873.348872,0.311533875614,0.0,0.0,0.311533875614,1363.11617322,101677.674559,0.8258771863159999,41.81875306828215,,0.000637268898113,2.22689098112e-07,19.060577897704857,0.0013035021238379653,0.013019934658828825,0.10011587292829152,613.881042051,0.03782611854457798,0.013613338897716938
30075.9071402,0.210271481886,0.0,0.0,0.210271481886,1367.29179898,106628.394854,0.8548830204290001,37.63995884729343,,0.000821353246921,1.43090715698e-07,99.3822803835991,0.00029890122362047323,1.24777997366921,0.0002395464183813811,513.620723712,0.6469600852417555,0.02525832153537974
1230371.99235,0.347958758042,0.0,0.0,0.347958758042,1373.16015547,101300.282059,0.743197586619,31.775012349482267,,0.000744561285884,7.69416460247e-08,2.9233625261300817,0.0003596823375648513,0.0016402018381878253,0.21929150985603443,469.012458665,0.00660012066224227,0.006261198362813004
