eval_id,interface,x1,x2,x3,x4,x5,x6,response_fn_1,response_fn_2,response_fn_3,response_fn_4,response_fn_5,response_fn_6,response_fn_7,response_fn_8,response_fn_9,response_fn_10,response_fn_11,response_fn_12,response_fn_13,response_fn_14,response_fn_15,response_fn_16,response_fn_17,response_fn_18,response_fn_19
eval_id,interface,Inlet press. [Pa],Inlet temp. [K],Radius [m],Inlet H2O content [wt.],Inlet CO2 content [wt.],Phenocryst. content [vol.],Total Gas volume fraction,Pressure 1 [Pa],Pressure 2 [Pa],Liquid/particles velocity [m/s],Gas velocity [m/s],Exit temperature [K],Plagioclase crystallinity [-],Pyroxene crystallinity [-],Olivine crystallinity [-],Mach number ,Exit mixture velocity [m/s],Mass flow rate [kg/s],Volume flow rate [m3/s],Fragmentation Code,Fragmentation depth [m],Total crystal content [vol.],Undercooling relative to plag [K],Viscosity at fragmentation [Pa·s],Fragmentation length scale [m]
3,NO_ID,39593296.16,1385.006759,5.233650642,0.03314378325,0.01269250235,0.06796195945,0.8776590715,195181.611,195206.8776,21.64491895,697.2429419,1348.415314,0.2763211847,0.001267282892,1.91537256e-07,0.7783273795,22.34076404,617466.6909,227.8699552,0,-1,0.277588659129256,56.45976976895986,0,23.903189609799444
4,NO_ID,38235107.68,1409.6872,5.426050305,0.03999339895,0.02390623409,0.06311320799,0.9041348164,3824299.603,3824299.604,138.7031855,243.121808,1375.315771,0.1654421332,0.00484360249,5.239028009e-06,1.00027828,141.6920173,3283962.874,1229.885971,0,-1,0.170290974718009,27.23667725407995,0,981.5598810126227
5,NO_ID,36301242.8,1412.084629,2.071132527,0.01999247617,0.007073015014,0.1666048742,0.6064667962,101300.5842,101300.5851,0.3567031206,61.17821434,1391.709743,0.3584690403,0.0007530172441,5.957451187e-08,0.02592010725,0.3635389132,4950.602183,1.891707306,0,-1,0.35922211711861185,13.225424626112044,0,0.0064916896043764345
6,NO_ID,39532620.93,1412.906447,1.466097731,0.03342783623,0.01876759127,0.1646168575,0.6646553532,101300.9786,101300.9808,0.5879627306,148.5058607,1388.630669,0.3360660732,0.0007270394607,8.975880126e-08,0.04211581561,0.6109558232,3550.478687,1.331425567,0,-1,0.3367932024195013,16.304498373696106,0,0.017637763906867766
8,NO_ID,39313091.29,1394.878631,3.46584552,0.03335775642,0.03904009879,0.09661577314,0.8283476498,101376.9377,101376.9611,3.853004175,474.429664,1365.104722,0.3085244247,0.0006846333448,1.752904683e-07,0.2253894678,4.059816337,68432.20089,24.95844415,0,-1,0.30920923333526834,39.830396759871974,0,0.7574306720697669
9,NO_ID,37705244.03,1420.389236,1.878841835,0.02343362483,0.02770908526,0.1580822431,0.8671659436,102554.1168,102554.2262,9.369232638,607.9635062,1389.49745,0.2541767911,0.0007370567973,2.098618311e-07,0.4777159301,9.733372625,36409.36304,13.80205565,0,-1,0.2549140577591311,15.436915365247842,0,4.478700011477777
12,NO_ID,39844034.65,1404.403045,1.35918083,0.01175980198,0.01843541981,0.008088744747,0.8562857659,101375.8684,101375.9692,14.10891621,580.1618918,1379.179337,0.190812239,0.0007070597421,2.70956941e-07,0.737404145,14.44424259,30570.52725,11.76786812,0,-1,0.191519569699041,25.755782444223996,0,10.156199827591875
13,NO_ID,38461414.23,1416.445132,2.361457372,0.03573931565,0.009690804887,0.03330872193,0.9001293933,2310901.509,2310901.512,107.2889005,274.1500884,1379.634997,0.09873016498,0.004010591795,1.50667049e-06,1.001161312,109.7812247,488981.4357,187.7165554,0,-1,0.10274226344548999,23.886026034239876,0,587.2912331887194
14,NO_ID,36050718.55,1406.254682,2.593810429,0.02011795722,0.008759069353,0.1404002353,0.6765588201,101300.6866,101300.6877,0.8543644729,111.5570759,1384.150548,0.3385436367,0.0007426033931,7.241410036e-08,0.0596281334,0.8718166504,15349.62525,5.840699065,0,-1,0.33928631250720037,20.784619560575948,0,0.0372417679874334
